数据库：年度数据 
时间：1949年-2025年;2025年 
大豆产量 (万吨) 	,2091.00	,2064.78	,2084.17	,2028.35	,1639.54	,1960.18	,1809.18	,1596.71	,1528.25	,1359.55	,1236.74	,1268.57	,1240.71	,1343.59	,1487.85	,1540.99	,1522.42	,1570.90	,1279.34	,1508.18	,1634.78	,1740.15	,1539.32	,1650.54	,1540.56	,1540.90	,1424.53	,1515.18	,1473.15	,1322.42	,1350.20	,1599.90	,1530.70	,1030.40	,971.30	,1100.00	,1022.70	,1164.50	,1218.40	,1161.40	,1050.00	,969.50	,976.00	,903.00	,932.50	,794.00	,746.00	,756.50	,725.50	,664.00	,724.00	,747.00	,836.50	,645.00	,860.50	,870.50	,762.50	,803.50	,826.50	,826.50	,613.50	,787.00	,691.00	,651.10	,620.70	,639.10	,876.50	,866.70	,1005.10	,1024.30	,912.80	,908.60	,993.80	,952.60	,863.40	,744.30	,509.20	,
薯类产量 (万吨) 	,	,3058.38	,3013.88	,2977.39	,3043.54	,2987.41	,2882.72	,2865.37	,2798.62	,2726.32	,2729.35	,2798.76	,2855.45	,2882.96	,2924.30	,2842.72	,2792.92	,2842.98	,2741.76	,2701.26	,3468.51	,3557.67	,3513.27	,3665.87	,3563.07	,3685.16	,3640.56	,3604.21	,3192.29	,3536.03	,3262.60	,3025.40	,3181.10	,2844.20	,2715.90	,2743.26	,2730.40	,2696.50	,2822.30	,2533.70	,2603.60	,2847.50	,2924.50	,2704.50	,2597.00	,2872.50	,2846.00	,3174.00	,2967.00	,2666.00	,2856.50	,2824.00	,3155.50	,2451.50	,2506.50	,2667.50	,2411.50	,2228.50	,2243.00	,2252.50	,1986.00	,2012.50	,2139.00	,2344.90	,2173.60	,2035.70	,2382.30	,3272.70	,2192.70	,2185.90	,1890.40	,1698.80	,1666.10	,1633.00	,1400.90	,1239.40	,984.30	,
马铃薯产量 (万吨) 	,	,	,	,1788.26	,1790.66	,1798.30	,1777.94	,1798.37	,1769.63	,1698.57	,1645.33	,1683.11	,1717.59	,1687.17	,1631.46	,1530.63	,1396.69	,1371.47	,1275.46	,1289.73	,1417.39	,1444.14	,1361.89	,1403.75	,1291.31	,1325.50	,1122.08	,1125.16	,992.33	,1060.84	,914.40	,875.91	,920.80	,759.00	,608.10	,648.40	,624.26	,632.40	,533.50	,530.00	,535.00	,568.00	,505.50	,476.50	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
棉花产量 (万吨) 	,664.00	,616.36	,561.79	,598.02	,573.09	,591.05	,588.90	,610.28	,565.25	,534.28	,590.74	,629.94	,628.16	,660.80	,651.89	,577.04	,623.58	,723.23	,759.71	,753.28	,571.42	,632.35	,485.97	,491.62	,532.35	,441.73	,382.88	,450.10	,460.27	,420.33	,476.75	,434.10	,373.93	,450.84	,567.50	,450.77	,378.79	,414.87	,424.51	,354.04	,414.67	,625.84	,463.69	,359.85	,296.76	,270.67	,220.74	,216.70	,204.88	,205.55	,238.10	,246.08	,256.18	,195.82	,210.48	,227.70	,207.93	,235.43	,235.40	,233.68	,209.78	,166.27	,113.70	,70.15	,74.80	,106.29	,170.88	,196.88	,164.00	,144.52	,151.85	,106.49	,117.48	,130.40	,103.06	,69.25	,44.50	,
油料产量 (万吨) 	,4096.00	,3978.69	,3863.66	,3654.21	,3613.17	,3586.40	,3492.98	,3433.39	,3475.24	,3400.05	,3390.47	,3371.92	,3348.00	,3285.62	,3212.51	,3156.77	,3139.42	,3036.76	,2786.99	,2640.31	,3077.14	,3065.91	,2811.00	,2897.20	,2864.90	,2954.83	,2601.15	,2313.86	,2157.38	,2210.61	,2250.34	,1989.59	,1803.94	,1641.15	,1638.31	,1613.16	,1295.22	,1320.27	,1527.78	,1473.76	,1578.42	,1190.95	,1054.96	,1181.73	,1020.52	,769.06	,643.54	,521.79	,401.58	,400.86	,452.15	,441.39	,418.72	,411.83	,411.36	,377.19	,333.10	,343.24	,398.46	,391.90	,362.62	,336.87	,245.84	,200.40	,181.40	,194.05	,410.41	,476.94	,419.68	,506.90	,472.36	,418.53	,381.62	,419.38	,350.16	,294.00	,256.44	,
花生产量 (万吨) 	,	,1961.31	,1923.07	,1832.95	,1830.78	,1799.27	,1751.96	,1733.20	,1709.19	,1636.06	,1596.13	,1590.08	,1610.89	,1579.23	,1530.24	,1513.56	,1460.42	,1463.54	,1381.48	,1288.69	,1434.15	,1434.18	,1341.99	,1481.76	,1441.57	,1443.66	,1263.85	,1188.62	,964.79	,1013.85	,1023.46	,968.22	,842.11	,595.33	,630.33	,636.85	,536.25	,569.28	,617.10	,588.15	,666.36	,481.54	,395.07	,391.64	,382.63	,360.03	,282.24	,237.70	,197.84	,187.26	,227.04	,232.29	,213.16	,209.16	,222.98	,214.85	,183.24	,191.74	,218.91	,231.49	,192.80	,174.94	,142.35	,109.96	,104.86	,80.45	,220.64	,285.73	,257.09	,333.61	,292.60	,276.71	,212.73	,231.58	,209.57	,173.94	,126.83	,
油菜籽产量 (万吨) 	,	,1686.89	,1631.74	,1553.14	,1471.35	,1404.91	,1348.47	,1328.12	,1327.41	,1312.80	,1385.92	,1391.43	,1363.63	,1340.15	,1313.73	,1278.81	,1353.59	,1240.32	,1138.16	,1096.61	,1305.23	,1318.17	,1142.00	,1055.22	,1133.14	,1138.06	,1013.18	,830.05	,957.76	,920.11	,977.71	,749.19	,693.94	,765.31	,743.62	,695.81	,543.62	,504.43	,660.52	,588.09	,560.70	,420.51	,428.70	,565.64	,406.49	,238.37	,240.21	,186.79	,116.98	,134.76	,153.53	,138.21	,135.27	,139.73	,123.32	,96.54	,87.76	,90.49	,100.74	,90.63	,108.86	,93.92	,51.79	,48.79	,37.96	,74.64	,93.61	,99.91	,88.76	,92.27	,96.95	,87.81	,87.87	,93.21	,77.79	,68.27	,73.41	,
芝麻产量 (万吨) 	,	,46.96	,45.34	,43.53	,45.54	,45.69	,46.70	,43.15	,36.65	,35.20	,45.03	,43.66	,43.90	,46.58	,45.76	,46.20	,53.53	,51.55	,52.00	,66.17	,62.54	,70.38	,59.28	,89.52	,80.41	,81.12	,74.31	,65.61	,56.58	,57.54	,58.27	,54.75	,56.29	,51.63	,43.50	,46.93	,33.76	,40.45	,52.58	,61.82	,69.14	,47.56	,34.87	,34.22	,50.95	,25.86	,41.72	,32.24	,24.15	,22.91	,20.82	,22.61	,25.71	,25.90	,28.00	,26.31	,25.62	,24.43	,29.59	,28.97	,25.57	,30.86	,26.80	,25.47	,19.08	,15.14	,32.56	,32.29	,31.24	,29.69	,46.36	,22.90	,52.09	,48.06	,44.13	,28.67	,32.55	,
葵花籽产量 (万吨) 	,	,234.84	,213.76	,174.13	,215.39	,257.02	,266.35	,249.42	,314.94	,320.10	,287.20	,258.21	,244.83	,226.72	,240.20	,235.53	,198.56	,199.32	,146.02	,144.00	,192.79	,155.15	,174.35	,194.60	,147.78	,195.41	,176.47	,146.51	,117.61	,132.31	,126.95	,136.74	,128.23	,147.30	,142.20	,133.87	,106.41	,117.96	,124.13	,154.43	,173.21	,170.40	,134.04	,128.63	,133.16	,90.97	,33.98	,27.84	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
胡麻籽产量 (万吨) 	,	,	,	,25.87	,26.29	,28.43	,33.18	,33.52	,30.10	,32.50	,31.19	,32.26	,33.00	,33.11	,30.80	,31.44	,29.48	,34.56	,26.89	,37.36	,36.21	,42.60	,45.05	,40.89	,25.26	,34.37	,40.35	,52.34	,39.32	,55.34	,36.38	,51.14	,49.60	,51.97	,51.46	,53.51	,39.94	,52.17	,44.42	,48.49	,53.52	,42.79	,33.28	,33.56	,23.58	,27.18	,26.45	,22.63	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
